time_x,event_name,holiday,date,jalali_date
۱ فروردین,جشن نوروز/جشن سال نو ,1,2018-03-21,1397-01-01
۱ فروردین,شهادت امام علی النقی الهادی علیه السلام [ ٣ رجب ],0,2018-03-21,1397-01-01
۲ فروردین,عیدنوروز ,1,2018-03-22,1397-01-02
۳ فروردین,عیدنوروز ,1,2018-03-23,1397-01-03
۴ فروردین,عیدنوروز ,1,2018-03-24,1397-01-04
۶ فروردین,روز امید، روز شادباش نویسی ,0,2018-03-26,1397-01-06
۶ فروردین,زادروز آشو زرتشت، اَبَراِنسان بزرگ تاریخ ,0,2018-03-26,1397-01-06
۷ فروردین,روز جهانی تئاتر [ 27 March ],0,2018-03-27,1397-01-07
۸ فروردین,ولادت امام محمد تقی علیه السلام [ ١٠ رجب ],0,2018-03-28,1397-01-08
۱۰ فروردین,جشن آبانگاه ,0,2018-03-30,1397-01-10
۱۱ فروردین,ولادت امام علی علیه السلام و روز پدر [ ١٣ رجب ],1,2018-03-31,1397-01-11
۱۲ فروردین,روز جمهوری اسلامی ایران ,1,2018-04-01,1397-01-12
۱۳ فروردین,جشن سیزده به در ,1,2018-04-02,1397-01-13
۱۳ فروردین,وفات حضرت زینب سلام الله علیها [ ١٥ رجب ],0,2018-04-02,1397-01-13
۱۷ فروردین,سروش روز،جشن سروشگان ,0,2018-04-06,1397-01-17
۱۸ فروردین,روز جهانی بهداشت [ 7 April ],0,2018-04-07,1397-01-18
۱۹ فروردین,فروردین روز،جشن فروردینگان ,0,2018-04-08,1397-01-19
۲۳ فروردین,شهادت امام موسی کاظم علیه السلام [ ٢٥ رجب ],0,2018-04-12,1397-01-23
۲۵ فروردین,روز بزرگداشت عطار نیشابوری ,0,2018-04-14,1397-01-25
۲۵ فروردین,مبعث رسول اکرم [ ٢٧ رجب ],1,2018-04-14,1397-01-25
۲۹ فروردین,روز ارتش جمهوری اسلامی ایران ,0,2018-04-18,1397-01-29
۳۱ فروردین,ولادت سالار شهیدان، امام حسین علیه السلام و روز پاسدار [ ٣ شعبان ],0,2018-04-20,1397-01-31
۱ اردیبهشت,روز بزرگداشت سعدی ,0,2018-04-21,1397-02-01
۱ اردیبهشت,ولادت ابوالفضل العباس علیه السلام و روز جانباز [ ٤ شعبان ],0,2018-04-21,1397-02-01
۲ اردیبهشت,جشن گیاه آوری؛روز زمین پاک [ 22 April ],0,2018-04-22,1397-02-02
۲ اردیبهشت,ولادت امام زین العابدین علیه السلام [ ٥ شعبان ],0,2018-04-22,1397-02-02
۳ اردیبهشت,روزبزرگداشت شیخ بهایی؛ روزملی کارآفرینی ,0,2018-04-23,1397-02-03
۸ اردیبهشت,ولادت علی اکبر علیه السلام و روز جوان [ ١١ شعبان ],0,2018-04-28,1397-02-08
۹ اردیبهشت,روزشوراها ,0,2018-04-29,1397-02-09
۹ اردیبهشت,روز جهانی روانشناس و مشاور ,0,2018-04-29,1397-02-09
۱۰ اردیبهشت,جشن چهلم نوروز؛ روزملی خلیج فارس ,0,2018-04-30,1397-02-10
۱۱ اردیبهشت,روزجهانی کارگر [ 1 May ],0,2018-05-01,1397-02-11
۱۲ اردیبهشت,شهادت استاد مرتضی مطهری، روزمعلم ,0,2018-05-02,1397-02-12
۱۲ اردیبهشت,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان [ ١٥ شعبان ],1,2018-05-02,1397-02-12
۱۵ اردیبهشت,جشن میانه بهار/جشن بهاربد؛ روز شیراز ,0,2018-05-05,1397-02-15
۱۵ اردیبهشت,روز جهانی ماما [ 5 May ],0,2018-05-05,1397-02-15
۱۷ اردیبهشت,روز اسنادملی و میراث مکتوب ,0,2018-05-07,1397-02-17
۱۸ اردیبهشت,روز جهانی صلیب سرخ و هلال احمر [ 8 May ],0,2018-05-08,1397-02-18
۲۵ اردیبهشت,روز بزرگداشت فردوسی ,0,2018-05-15,1397-02-25
۲۷ اردیبهشت,روز ارتباطات و روابط عمومی ,0,2018-05-17,1397-02-27
۲۸ اردیبهشت,روز بزرگداشت حکیم عمر خیام ,0,2018-05-18,1397-02-28
۲۸ اردیبهشت,روز جهانی موزه و میراث فرهنگی [ 18 May ],0,2018-05-18,1397-02-28
۱ خرداد,روز بهره وری و بهینه سازی مصرف ,0,2018-05-22,1397-03-01
۱ خرداد,روز بزرگداشت ملاصدرا ,0,2018-05-22,1397-03-01
۳ خرداد,فتح خرمشهر در عملیات بیت المقدس و روز مقاومت، ایثار و پیروزی ,0,2018-05-24,1397-03-03
۴ خرداد,روز دزفول، روز مقاومت و پایداری ,0,2018-05-25,1397-03-04
۶ خرداد,خرداد روز،جشن خردادگان ,0,2018-05-27,1397-03-06
۱۰ خرداد,ولادت امام حسن مجتبی علیه السلام [ ١٥ رمضان ],0,2018-05-31,1397-03-10
۱۳ خرداد,شب قدر [ ١٨ رمضان ],0,2018-06-03,1397-03-13
۱۴ خرداد,رحلت حضرت امام خمینی ,1,2018-06-04,1397-03-14
۱۴ خرداد,ضربت خوردن حضرت علی علیه السلام [ ١٩ رمضان ],0,2018-06-04,1397-03-14
۱۵ خرداد,قیام 15 خرداد ,1,2018-06-05,1397-03-15
۱۵ خرداد,روز جهانی محیط زیست [ 5 June ],0,2018-06-05,1397-03-15
۱۶ خرداد,شهادت حضرت علی علیه السلام [ ٢١ رمضان ],1,2018-06-06,1397-03-16
۱۷ خرداد,شب قدر [ ٢٢ رمضان ],0,2018-06-07,1397-03-17
۲۰ خرداد,روز جهانی صنایع دستی [ 10 June ],0,2018-06-10,1397-03-20
۲۲ خرداد,روز جهانی مبارزه با کار کودکان [ 12 June ],0,2018-06-12,1397-03-22
۲۴ خرداد,روز جهانی اهدای خون [ 14 June ],0,2018-06-14,1397-03-24
۲۵ خرداد,روز ملی گل وگیاه ,0,2018-06-15,1397-03-25
۲۵ خرداد,عید سعید فطر [ ١ شوال ],1,2018-06-15,1397-03-25
۲۶ خرداد,تعطیل به مناسبت عید سعید فطر [ ٢ شوال ],1,2018-06-16,1397-03-26
۲۷ خرداد,روز جهاد کشاورزی ,0,2018-06-17,1397-03-27
۲۷ خرداد,روز جهانی بیابان زدایی [ 17 June ],0,2018-06-17,1397-03-27
۲۹ خرداد,درگذشت دکتر علی شریعتی ,0,2018-06-19,1397-03-29
۳۱ خرداد,شهادت دکتر مصطفی چمران,0,2018-06-21,1397-03-31
۱ تیر,جشن آب پاشونک، جشن آغاز تابستان ,0,2018-06-22,1397-04-01
۱ تیر,روز اصناف ,0,2018-06-22,1397-04-01
۵ تیر,روز جهانی مبارزه با مواد مخدر [ 26 June ],0,2018-06-26,1397-04-05
۷ تیر,شهادت آیت الله دکتر بهشتی ؛ روز قوه قضاییه ,0,2018-06-28,1397-04-07
۸ تیر,روز مبارزه با سلاح های شیمیایی و میکروبی ,0,2018-06-29,1397-04-08
۱۰ تیر,روز صنعت و معدن ,0,2018-07-01,1397-04-10
۱۳ تیر,تیر روز،جشن تیرگان ,0,2018-07-04,1397-04-13
۱۴ تیر,روز قلم ,0,2018-07-05,1397-04-14
۱۵ تیر,جشن خام خواری ,0,2018-07-06,1397-04-15
۱۸ تیر,شهادت امام جعفر صادق علیه السلام [ ٢٥ شوال ],1,2018-07-09,1397-04-18
۲۴ تیر,ولادت حضرت معصومه سلام الله علیها و روز دختران [ ١ ذوالقعده ],0,2018-07-15,1397-04-24
۲۵ تیر,روز بهزیستی و تامین اجتماعی ,0,2018-07-16,1397-04-25
۲۷ تیر,اعلام پذیرش قطعنامه 598 شورای امنیت از سوی ایران,0,2018-07-18,1397-04-27
۳ مرداد,ولادت امام رضا علیه السلام [ ١١ ذوالقعده ],0,2018-07-25,1397-05-03
۶ مرداد,روز ترویج آموزش های فنی و حرفه ای ,0,2018-07-28,1397-05-06
۷ مرداد,مرداد روز،جشن مردادگان ,0,2018-07-29,1397-05-07
۸ مرداد,روز بزرگداشت شیخ شهاب الدین سهروردی ,0,2018-07-30,1397-05-08
۱۰ مرداد,جشن چله تابستان ,0,2018-08-01,1397-05-10
۱۴ مرداد,صدور فرمان مشروطیت ,0,2018-08-05,1397-05-14
۱۷ مرداد,روز خبرنگار ,0,2018-08-08,1397-05-17
۲۱ مرداد,شهادت امام محمد تقی علیه السلام [ ٢٩ ذوالقعده ],0,2018-08-12,1397-05-21
۲۲ مرداد,روز جهانی چپ دست ها [ 13 August ],0,2018-08-13,1397-05-22
۲۶ مرداد,سالروز ورود آزادگانِ سرافراز به وطن ,0,2018-08-17,1397-05-26
۲۸ مرداد,شهادت امام محمد باقرعلیه السلام [ ٧ ذوالحجه ],0,2018-08-19,1397-05-28
۲۸ مرداد,سالروز کودتای 28 مرداد علیه دولت دکتر محمد مصدق ,0,2018-08-19,1397-05-28
۲۸ مرداد,سالروز فاجعه آتش زدن سینما رکس آبادان ,0,2018-08-19,1397-05-28
۲۸ مرداد,روز جهانی عکاسی [ 19 August ],0,2018-08-19,1397-05-28
۳۰ مرداد,روز عرفه [ ٩ ذوالحجه ],0,2018-08-21,1397-05-30
۳۱ مرداد,عید سعید قربان [ ١٠ ذوالحجه ],1,2018-08-22,1397-05-31
۱ شهریور ,روز بزرگداشت ابوعلی سینا و روز پزشک ,0,2018-08-23,1397-06-01
۲ شهریور ,آغاز هفته دولت ,0,2018-08-24,1397-06-02
۴ شهریور ,زادروز داراب (کوروش) ,0,2018-08-26,1397-06-04
۴ شهریور ,شهریور روز،جشن شهریورگان ,0,2018-08-26,1397-06-04
۴ شهریور ,روز کارمند ,0,2018-08-26,1397-06-04
۵ شهریور ,روز بزرگداشت محمدبن زکریای رازی و روز داروساز ,0,2018-08-27,1397-06-05
۵ شهریور ,ولادت امام علی النقی الهادی علیه السلام [ ١٥ ذوالحجه ],0,2018-08-27,1397-06-05
۸ شهریور ,روز مبارزه با تروریسم ,0,2018-08-30,1397-06-08
۸ شهریور ,عید سعید غدیر خم [ ١٨ ذوالحجه ],1,2018-08-30,1397-06-08
۱۰ شهریور ,ولادت امام موسی کاظم علیه السلام [ ٢٠ ذوالحجه ],0,2018-09-01,1397-06-10
۱۱ شهریور ,روزصنعت چاپ ,0,2018-09-02,1397-06-11
۱۳ شهریور ,روز بزرگداشت ابوریحان بیرونی ,0,2018-09-04,1397-06-13
۱۳ شهریور ,روزتعاون ,0,2018-09-04,1397-06-13
۱۷ شهریور ,قیام 17 شهریور ,0,2018-09-08,1397-06-17
۱۹ شهریور ,وفات آیت الله سید محمود طالقانی اولین امام جمعه تهران ,0,2018-09-10,1397-06-19
۱۹ شهریور ,روز جهانی پیشگیری از خودکشی [ 10 September ],0,2018-09-10,1397-06-19
۲۰ شهریور ,حمله به برج‌های دوقلوی مرکز تجارت جهانی [ 11 September ],0,2018-09-11,1397-06-20
۲۱ شهریور ,روز سینما ,0,2018-09-12,1397-06-21
۲۲ شهریور ,روز گرامیداشت برنامه نویسان [ 13 September ],0,2018-09-13,1397-06-22
۲۷ شهریور ,روز شعر و ادب پارسی و روز بزرگداشت استاد شهریار ,0,2018-09-18,1397-06-27
۲۸ شهریور ,تاسوعای حسینی [ ٩ محرم ],1,2018-09-19,1397-06-28
۲۹ شهریور ,عاشورای حسینی [ ١٠ محرم ],1,2018-09-20,1397-06-29
۳۰ شهریور ,روز گفتگوی تمدنها ,0,2018-09-21,1397-06-30
۳۰ شهریور ,روز جهانی صلح [ 21 September ],0,2018-09-21,1397-06-30
۳۱ شهریور ,آغاز هفته دفاع مقدس ,0,2018-09-22,1397-06-31
۳۱ شهریور ,شهادت امام زین العابدین علیه السلام [ ١٢ محرم ],0,2018-09-22,1397-06-31
۵ مهر,روز جهانی جهانگردی [ 27 September ],0,2018-09-27,1397-07-05
۷ مهر,روز آتش نشانی و ایمنی ,0,2018-09-29,1397-07-07
۷ مهر,سقوط هواپیمای حامل جمعی از فرماندهان جنگ (کلاهدوز، نامجو، فلاحی، فکوری، جهان آرا) در سال 1360 ,0,2018-09-29,1397-07-07
۸ مهر,روزبزرگداشت مولوی ,0,2018-09-30,1397-07-08
۸ مهر,روز جهانی ناشنوایان [ 30 September ],0,2018-09-30,1397-07-08
۸ مهر,روز جهانی ترجمه و مترجم [ 30 September ],0,2018-09-30,1397-07-08
۹ مهر,روز جهانی سالمندان [ 1 October ],0,2018-10-01,1397-07-09
۱۳ مهر,روز نیروی انتظامی ,0,2018-10-05,1397-07-13
۱۳ مهر,روز جهانی معلم [ 5 October ],0,2018-10-05,1397-07-13
۱۴ مهر,روز دامپزشکی ,0,2018-10-06,1397-07-14
۱۶ مهر,مهر روز،جشن مهرگان ,0,2018-10-08,1397-07-16
۱۶ مهر,روز ملی کودک [ 8 October ],0,2018-10-08,1397-07-16
۱۷ مهر,روز جهانی پست [ 9 October ],0,2018-10-09,1397-07-17
۱۹ مهر,روز جهانی دختر [ 11 October ],0,2018-10-11,1397-07-19
۲۰ مهر,روز بزرگداشت حافظ ,0,2018-10-12,1397-07-20
۲۲ مهر,روز جهانی استاندارد [ 14 October ],0,2018-10-14,1397-07-22
۲۳ مهر,روز جهانی عصای سفید [ 15 October ],0,2018-10-15,1397-07-23
۲۴ مهر,روز جهانی غذا [ 16 October ],0,2018-10-16,1397-07-24
۲۵ مهر,روز جهانی ریشه کنی فقر [ 17 October ],0,2018-10-17,1397-07-25
۲۶ مهر,روز تربیت بدنی و ورزش,0,2018-10-18,1397-07-26
۱ آبان,روز آمار و برنامه ریزی ,0,2018-10-23,1397-08-01
۷ آبان,سالروز ورود کوروش بزرگ به بابل در سال 539 پیش از میلاد ,0,2018-10-29,1397-08-07
۸ آبان,روز نوجوان ,0,2018-10-30,1397-08-08
۸ آبان,اربعین حسینی [ ٢٠ صفر ],1,2018-10-30,1397-08-08
۱۰ آبان,آبان روز، جشن آبانگان ,0,2018-11-01,1397-08-10
۱۳ آبان,روز دانش آموز ,0,2018-11-04,1397-08-13
۱۴ آبان,روز فرهنگ عمومی ,0,2018-11-05,1397-08-14
۱۵ آبان,جشن میانه پاییز ,0,2018-11-06,1397-08-15
۱۶ آبان,رحلت رسول اکرم؛شهادت امام حسن مجتبی علیه السلام [ ٢٨ صفر ],1,2018-11-07,1397-08-16
۱۷ آبان,شهادت امام رضا علیه السلام [ ٢٩ صفر ],1,2018-11-08,1397-08-17
۱۸ آبان,روز ملی کیفیت ,0,2018-11-09,1397-08-18
۱۸ آبان,هجرت پیامبر اکرم از مکه به مدینه [ ١ ربيع الاول ],0,2018-11-09,1397-08-18
۲۴ آبان,روز کتاب و کتابخوانی ,0,2018-11-15,1397-08-24
۲۴ آبان,روز جهانی فلسفه [ 15 November ],0,2018-11-15,1397-08-24
۲۵ آبان,شهادت امام حسن عسکری علیه السلام [ ٨ ربيع الاول ],1,2018-11-16,1397-08-25
۲۹ آبان,میلاد رسول اکرم به روایت اهل سنت [ ١٢ ربيع الاول ],0,2018-11-20,1397-08-29
۲۹ آبان,روز جهانی کودک [ 20 November ],0,2018-11-20,1397-08-29
۱ آذر,آذر جشن ,0,2018-11-22,1397-09-01
۴ آذر,میلاد رسول اکرم و امام جعفر صادق علیه السلام [ ١٧ ربيع الاول ],1,2018-11-25,1397-09-04
۴ آذر,روز جهانی مبارزه با خشونت علیه زنان [ 25 November ],0,2018-11-25,1397-09-04
۵ آذر,روز بسیج مستضعفان ,0,2018-11-26,1397-09-05
۷ آذر,روز نیروی دریایی ,0,2018-11-28,1397-09-07
۹ آذر,آذر روز، جشن آذرگان ,0,2018-11-30,1397-09-09
۱۰ آذر,روز مجلس ,0,2018-12-01,1397-09-10
۱۰ آذر,روز جهانی ایدز [ 1 December ],0,2018-12-01,1397-09-10
۱۲ آذر,تصویب قانون اساسی جمهوری اسلامی ایران ,0,2018-12-03,1397-09-12
۱۲ آذر,روز جهانی معلولان [ 3 December ],0,2018-12-03,1397-09-12
۱۳ آذر,روز بیمه ,0,2018-12-04,1397-09-13
۱۵ آذر,روز حسابدار ,0,2018-12-06,1397-09-15
۱۶ آذر,روز دانشجو ,0,2018-12-07,1397-09-16
۲۵ آذر,روز پژوهش ,0,2018-12-16,1397-09-25
۲۵ آذر,ولادت امام حسن عسکری علیه السلام [ ٨ ربيع الثاني ],0,2018-12-16,1397-09-25
۲۶ آذر,روز حمل و نقل ,0,2018-12-17,1397-09-26
۲۷ آذر,وفات حضرت معصومه سلام الله علیها [ ١٠ ربيع الثاني ],0,2018-12-18,1397-09-27
۳۰ آذر,جشن شب یلدا,0,2018-12-21,1397-09-30
۱ دی,روز میلاد خورشید؛ جشن خرم روز، نخستین جشن دیگان ,0,2018-12-22,1397-10-01
۴ دی,جشن کریسمس [ 25 December ],0,2018-12-25,1397-10-04
۵ دی,سالروز زمین لرزه ی بم در سال 1382 ,0,2018-12-26,1397-10-05
۵ دی,سالروز شهادت آشو زرتشت، اَبَراِنسان بزرگ تاریخ ,0,2018-12-26,1397-10-05
۸ دی,دی به آذر روز، دومین جشن دیگان ,0,2018-12-29,1397-10-08
۱۱ دی,جشن آغاز سال نو میلادی [ 1 January ],0,2019-01-01,1397-10-11
۱۵ دی,دی به مهر روز، سومین جشن دیگان ,0,2019-01-05,1397-10-15
۲۰ دی,سالروز قتل امیرکبیر به دستور ناصرالدین شاه قاجار ,0,2019-01-10,1397-10-20
۲۲ دی,ولادت حضرت زینب سلام الله علیها و روز پرستار و بهورز [ ٥ جمادي الاولي ],0,2019-01-12,1397-10-22
۲۳ دی,دی به دین روز، چهارمین جشن دیگان ,0,2019-01-13,1397-10-23
۲۷ دی,اجرای توافق نامه‌ی برجام,0,2019-01-17,1397-10-27
۱ بهمن,زادروز فردوسی ,0,2019-01-21,1397-11-01
۲ بهمن,بهمن روز، جشن بهمنگان ,0,2019-01-22,1397-11-02
۵ بهمن,جشن نوسره ,0,2019-01-25,1397-11-05
۱۰ بهمن,جشن سده ,0,2019-01-30,1397-11-10
۱۲ بهمن,بازگشت امام خمینی (ره) به ایران ,0,2019-02-01,1397-11-12
۱۵ بهمن,جشن میانه زمستان ,0,2019-02-04,1397-11-15
۱۹ بهمن,روز نیروی هوایی ,0,2019-02-08,1397-11-19
۲۰ بهمن,شهادت حضرت فاطمه زهرا سلام الله علیها [ ٣ جمادي الثانيه ],1,2019-02-09,1397-11-20
۲۲ بهمن,پیروزی انقلاب اسلامی ,0,2019-02-11,1397-11-22
۲۲ بهمن,حمله به سفارت روسیه و قتل گریبایدوف سفیر روسیه تزاری در ایران [ 11 February ],0,2019-02-11,1397-11-22
۲۳ بهمن,زادروز چارلز داروین بنیانگذار نظریه‌ی فرگشت از طریق انتخاب طبیعی [ 12 February ],0,2019-02-12,1397-11-23
۲ اسفند,روز جهانی زبان مادری [ 21 February ],0,2019-02-21,1397-12-02
۵ اسفند,جشن اسفندگان(سپندارمذگان) روز عشق ,0,2019-02-24,1397-12-05
۵ اسفند,روز بزرگداشت زمین و بانوان ,0,2019-02-24,1397-12-05
۵ اسفند,روز بزرگداشت خواجه نصیر الدین طوسی و روز مهندس ,0,2019-02-24,1397-12-05
۷ اسفند,ولادت حضرت فاطمه زهرا سلام الله علیها و روز زن [ ٢٠ جمادي الثانيه ],0,2019-02-26,1397-12-07
۷ اسفند,سالروز استقلال کانون وکلای دادگستری و روز وکیل مدافع ,0,2019-02-26,1397-12-07
۷ اسفند,سالروز درگذشت علی اكبر دهخدا ,0,2019-02-26,1397-12-07
۱۴ اسفند,روز احسان و نیکوکاری ,0,2019-03-05,1397-12-14
۱۴ اسفند,سالروز درگذشت دکتر محمد مصدق ,0,2019-03-05,1397-12-14
۱۵ اسفند,روز درختکاری ,0,2019-03-06,1397-12-15
۱۷ اسفند,ولادت امام محمد باقر علیه السلام [ ١ رجب ],0,2019-03-08,1397-12-17
۱۷ اسفند,روزجهانی زنان [ 8 March ],0,2019-03-08,1397-12-17
۱۹ اسفند,شهادت امام علی النقی الهادی علیه السلام [ ٣ رجب ],0,2019-03-10,1397-12-19
۲۵ اسفند,پایان سرایش شاهنامه ,0,2019-03-16,1397-12-25
۲۶ اسفند,ولادت امام محمد تقی علیه السلام [ ١٠ رجب ],0,2019-03-17,1397-12-26
۲۹ اسفند,روز ملی شدن صنعت نفت ایران ,1,2019-03-20,1397-12-29
